,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,newp,Treatment,OTU,comp
Otu00194,93.59239785,-1.864757541,0.553314376,-3.370159211,0.000751248,0.005741678,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,6.00E-03,Control,Otu0019,D28_BBvsControl
Otu00195,567.5844575,2.44523803,0.264749907,9.236029794,2.56E-20,1.05E-18,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,0.00E+00,BB,Otu0019,D36_BBvsControl
Otu0019,60.32900326,0.889566198,0.245077055,3.629740849,0.000283706,0.001592414,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,2.00E-03,BB,Otu0019,D7_BBvsControl
Otu0088,13.05441974,2.13363882,0.769220385,2.773767911,0.005541119,0.029017967,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurellaceae_unclassified,2.90E-02,BB,Otu0088,D3_BBvsControl
Otu00881,37.19844419,3.898200558,0.920075995,4.236824543,2.27E-05,0.000219146,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurellaceae_unclassified,0.00E+00,BB,Otu0088,D7_BBvsControl
Otu0018,54.05516404,0.733744784,0.228651736,3.209005958,0.001331947,0.010897751,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Phascolarctobacterium,1.10E-02,BB,Otu0018,D1_BBvsControl
Otu00182,128.4935104,-0.43164114,0.170510218,-2.531467876,0.011358622,0.034075866,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Phascolarctobacterium,3.40E-02,Control,Otu0018,D10_BBvsControl
Otu00181,59.8234371,0.522617424,0.177978531,2.93640711,0.003320382,0.014091379,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Phascolarctobacterium,1.40E-02,BB,Otu0018,D7_BBvsControl
Otu00091,687.9031337,-1.230746255,0.243657072,-5.051141111,4.39E-07,3.41E-06,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9,0.00E+00,Control,Otu0009,D21_BBvsControl
Otu00092,1091.726843,1.615568453,0.244621075,6.604371502,3.99E-11,1.07E-09,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9,0.00E+00,BB,Otu0009,D28_BBvsControl
Otu0009,687.8051239,-0.819860429,0.262962559,-3.117783881,0.001822164,0.01133158,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9,1.10E-02,Control,Otu0009,D3_BBvsControl
Otu00093,791.7281928,1.775033659,0.290394283,6.112495198,9.81E-10,1.17E-08,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9,0.00E+00,BB,Otu0009,D36_BBvsControl
Otu0055,33.4713872,0.82801304,0.287816718,2.876876115,0.004016332,0.013289335,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_UCG-003,1.30E-02,BB,Otu0055,D21_BBvsControl
Otu00702,87.71188369,-0.649945882,0.193946572,-3.351159426,0.00080474,0.003594503,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_unclassified,4.00E-03,Control,Otu0070,D10_BBvsControl
Otu00703,117.1973389,0.723176161,0.299490616,2.414687216,0.015748727,0.041687807,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_unclassified,4.20E-02,BB,Otu0070,D21_BBvsControl
Otu0070,81.34900144,1.01240162,0.216323022,4.680045657,2.87E-06,7.13E-05,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_unclassified,0.00E+00,BB,Otu0070,D3_BBvsControl
Otu00701,48.59467285,0.523420471,0.214479151,2.440425882,0.014669956,0.044781971,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_unclassified,4.50E-02,BB,Otu0070,D7_BBvsControl
Otu0026,20.14679154,1.979131504,0.45986065,4.303763547,1.68E-05,9.69E-05,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,0.00E+00,BB,Otu0026,D21_BBvsControl
Otu00261,144.5183413,0.977831364,0.272816832,3.584204678,0.000338107,0.001534898,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,2.00E-03,BB,Otu0026,D36_BBvsControl
Otu0024,49.3699538,-0.690217115,0.209787313,-3.290080343,0.001001588,0.00901429,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter,9.00E-03,Control,Otu0024,D1_BBvsControl
Otu00243,151.0739942,1.368718506,0.118727372,11.52824727,9.51E-31,6.37E-29,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter,0.00E+00,BB,Otu0024,D10_BBvsControl
Otu00244,221.8032718,0.51934729,0.189114436,2.746206487,0.006028881,0.024019826,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter,2.40E-02,BB,Otu0024,D14_BBvsControl
Otu00241,112.324337,-0.836643325,0.238020641,-3.515003245,0.000439749,0.003646249,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter,4.00E-03,Control,Otu0024,D3_BBvsControl
Otu00245,97.70360428,0.461453573,0.184855838,2.496288883,0.012550035,0.041256437,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter,4.10E-02,BB,Otu0024,D36_BBvsControl
Otu00242,108.1079095,-0.869523672,0.214138377,-4.060569085,4.90E-05,0.000387176,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter,0.00E+00,Control,Otu0024,D7_BBvsControl
Otu00481,31.40516548,-1.995493064,0.285627687,-6.986343246,2.82E-12,4.05E-11,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema_2,0.00E+00,Control,Otu0048,D10_BBvsControl
Otu00482,51.80442368,1.693584146,0.304217678,5.567014246,2.59E-08,2.33E-07,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema_2,0.00E+00,BB,Otu0048,D21_BBvsControl
Otu00483,199.8577164,-1.589149188,0.300012461,-5.296943942,1.18E-07,1.68E-06,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema_2,0.00E+00,Control,Otu0048,D28_BBvsControl
Otu00484,117.9024048,-1.69983321,0.224012864,-7.588105326,3.25E-14,9.28E-13,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema_2,0.00E+00,Control,Otu0048,D36_BBvsControl
Otu0048,9.285291768,0.952382804,0.385741671,2.468965308,0.013550435,0.044486335,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema_2,4.40E-02,BB,Otu0048,D7_BBvsControl
Otu00221,279.3059035,0.58829192,0.212310024,2.770909772,0.005589991,0.017834735,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,1.80E-02,BB,Otu0022,D10_BBvsControl
Otu00222,330.3378662,-1.095062697,0.231676452,-4.726689693,2.28E-06,1.91E-05,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,0.00E+00,Control,Otu0022,D14_BBvsControl
Otu00223,20.88737271,-0.840903848,0.277984944,-3.024997815,0.002486349,0.016123598,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,1.60E-02,Control,Otu0022,D28_BBvsControl
Otu0022,68.4710903,-0.858791453,0.260068152,-3.302178469,0.00095937,0.004831367,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,5.00E-03,Control,Otu0022,D7_BBvsControl
